concept,group,method,condition,n,clip_ci_high,clip_ci_low,clip_mean,clip_std,fid,fid_boot_mean,fid_ci_high,fid_ci_low,fid_projected,fid_std,fid_sub100,fid_sub100_std,kid,kid_boot_mean,kid_ci_high,kid_ci_low,kid_std,kid_sub100,kid_sub100_std
patua,artifact_object_clothing,dreambooth_lora,with_finetuning,1000,,,,,220.2534463295819,220.55034657034977,222.41054603964466,218.74681450238327,220.25349019480225,0.9572978852929492,223.88560922846847,3.609415349846429,0.06335150577244342,0.06356297324545557,0.06594103963801504,0.06134231850408629,0.001195157387954908,0.06462350533397374,0.0043550836407393375
patua,artifact_object_clothing,textual_inversion,with_baseline,511,20.16462324906702,19.765608381711804,19.96109765383129,2.351370427375459,343.15824466090703,343.5122638672307,348.20853813367677,338.33369649257435,343.1582763310468,2.505001797968498,348.09109024598564,5.129265590990449,0.11474827872551252,0.11539767500235842,0.11986127336127748,0.11096820846968736,0.002253724449987424,0.11545341490755721,0.00352215944618679
patua,artifact_object_clothing,dreambooth_lora,checkpoint_500,100,,,,,320.57318845891376,323.08416968422,339.1528821959027,308.83898359188845,320.573232336967,7.420454607089778,,,0.0714012804631583,0.07546300179315787,0.0861009901791133,0.06620218396178407,0.005139105522198182,,
patua,artifact_object_clothing,dreambooth_lora,checkpoint_1000,100,,,,,323.38761883731365,325.59391018641065,337.4965872260352,313.9740597169767,323.38765473036995,6.027498345258983,,,0.09237388872465058,0.09576915975526429,0.10735759437915689,0.08475570979615527,0.005729685566069493,,
patua,artifact_object_clothing,dreambooth_lora,checkpoint_1500,100,,,,,257.6633772493186,260.45419620469045,270.8177327382623,250.91010571458025,257.66342582585753,5.016838637069571,,,0.06737834757295325,0.07041375066965651,0.08113044891700874,0.0614867660725381,0.005140062808406316,,
patua,artifact_object_clothing,dreambooth_lora,checkpoint_2000,100,,,,,259.101888872744,261.5618538239334,271.5138055530226,251.92072805215653,259.1019372507925,5.197092747015862,,,0.06507774941954825,0.0683683259882404,0.07787572308193243,0.0602161322734721,0.00443443185986735,,
patua,artifact_object_clothing,dreambooth_lora,checkpoint_2500,100,,,,,228.31662756264467,230.7897544545676,236.74874356098854,225.3597345595125,228.31667793665648,3.0354034018314406,,,0.05589486921654219,0.05819536967438221,0.06486607956883317,0.05242655273977316,0.0031747090798409858,,
saci,folklore_being,dreambooth_lora,without_finetuning,1000,,,,,353.08574712009465,353.34869404273235,357.0004617808666,349.6363833584866,353.08577944094515,1.8605909774064857,358.0739100548067,6.230252662277893,0.1309616431516103,0.13129904469056752,0.13419687535103286,0.12839463636891013,0.0014585665305275545,0.1316863856988387,0.004238675193255335
saci,folklore_being,dreambooth_lora,with_finetuning,1000,,,,,293.723308709138,293.9906671969967,296.2166978609988,291.8436809954057,293.72333949570657,1.1023661329435872,296.30108349637686,2.918324476901865,0.144167074710837,0.1444052134344722,0.14767563333042388,0.14072594149245443,0.0017546943367188171,0.14375772161621747,0.005230891710865412
saci,folklore_being,textual_inversion,with_baseline,885,17.815168443938433,17.23923981180299,17.51152214061069,4.494829919438008,362.36153893558895,362.6118833608858,365.87861213508063,359.50252182473884,362.36157156278443,1.630868786154076,366.2253405067607,4.527885783661442,0.13007871736793541,0.13042509243438902,0.13372118497415994,0.12710246010648785,0.001661845602569847,0.12791859266739652,0.004842189618874957
saci,folklore_being,textual_inversion,without_finetuning_ti,1000,17.920140414237977,17.454227451086044,17.69184822654724,3.743376935061438,352.1718119501713,352.4312856485231,356.23613916234865,348.9334834130617,352.17184459933867,1.8500116807792135,356.5770905055096,6.082052563759141,0.13268732754938783,0.13307656174642518,0.1358075647575696,0.1303801749660958,0.001402003827260681,0.13311604629155027,0.004491341208941125
saci,folklore_being,dreambooth_lora,checkpoint_500,100,,,,,326.9649067478314,329.91165591417973,341.12723176490186,319.25373963088845,326.9649473211002,5.668476133259064,,,0.10011201599614905,0.10432921240054986,0.11731709349766035,0.09192150022689238,0.00655029876169774,,
saci,folklore_being,dreambooth_lora,checkpoint_1000,100,,,,,319.42118023773537,321.51156356106833,328.41060719548386,314.78642821235087,319.42120954577354,3.5220515749847827,,,0.16699044005664065,0.16915968225941014,0.17958988134634693,0.1585108832412161,0.005292224182764262,,
saci,folklore_being,dreambooth_lora,checkpoint_1500,100,,,,,310.6665520695892,313.2126803608631,319.1513103877505,307.4830708048149,310.6665860716955,2.939747145986724,,,0.14315509632073242,0.14547628504770233,0.15909365962345426,0.13267865360030634,0.00685141342072178,,
saci,folklore_being,dreambooth_lora,checkpoint_2000,100,,,,,293.1924752905541,295.22166009041746,301.6004575900501,289.1997174631758,293.1925089303013,3.268078913935756,,,0.1307675590372388,0.13285528150767925,0.14312941906848692,0.12278859122283689,0.0054101132437166365,,
saci,folklore_being,dreambooth_lora,checkpoint_2500,100,,,,,292.8584794063981,295.1622437501945,301.5249129638734,289.10054155370614,292.85851175984953,3.141955238756715,,,0.1288914010324067,0.13135252825995994,0.14345036477723355,0.12042207409977566,0.005899337136416313,,
